student_id,last_name,first_name,middle_name,program,year_enrolled,shs_name,status_passed_sf10
20271000,Mendoza,Bea,Jacinto,BSEE,2027,Integrated School of Science,true
20271001,Gonzalez,Paolo,Dalisay,BSA,2027,Eastern Standard High,yes
20241002,Navarro,Anna,Gomez,BSCE,2024,National Science High,passed
20241003,De Leon,Diana,Salvador,BSN,2024,City Science HS,false
20241004,Torres,Gabriel,Valdez,BSN,2024,Valley View Academy,yes
20251005,Santos,Jose,Alonzo,BSA,2025,Tech High School,false
20271006,De Leon,Lucia,Evangelista,BSIT,2027,St. Jude Academy,no
20231007,Del Rosario,Maria,Dalisay,BSCpE,2023,St. Jude Academy,false
20251008,Reyes,Enrique,Pascual,BSSE,2025,Eastern Standard High,false
20231009,Garcia,Gabriel,Hernandez,BSSE,2023,City Science HS,0
20251010,Navarro,Maria,Navarro,BSHRM,2025,Eastern Standard High,passed
20241011,Aguilar,Anna,Pascual,BSEd,2024,Rizal Memorial,true
20231012,Reyes,Jose,Salvador,BSEEd,2023,Pioneer Academy,yes
20251013,Villanueva,Juan,Reyes,BSCpE,2025,Metro Manila High,yes
20231014,Garcia,Luis,Jacinto,BSIT,2023,Valley View Academy,passed
20251015,Perez,Anna,Kasilag,BSBAMkg,2025,Rizal Memorial,true
20221016,Navarro,Mateo,Ignacio,BSSE,2022,Pioneer Academy,no
20241017,Cruz,Angelica,Ocampo,BSHRM,2024,Valley View Academy,true
20251018,Aguilar,Gabriel,Clemente,BSCE,2025,Mabini High,1
20261019,Bautista,Pedro,Pascual,BSSE,2026,Integrated School of Science,no
20251020,Ramos,Enrique,Dalisay,ACT,2025,Integrated School of Science,yes
20231021,Gonzalez,Anna,Reyes,BSCE,2023,Tech High School,false
20261022,Tan,Miguel,Tolentino,ABComm,2026,City Science HS,passed
20231023,Bautista,Enrique,Ocampo,ACT,2023,Tech High School,0
20251024,Ramos,Lucia,Gomez,BSBAMkg,2025,St. Jude Academy,yes
20271025,Bautista,Juan,Pascual,BSEEd,2027,Eastern Standard High,yes
20261026,Villanueva,Juan,Pascual,BSIT,2026,Mabini High,true
20251027,Lim,Paolo,Macapagal,BSEd,2025,National Science High,no
20241028,Castro,Gabriel,Clemente,BSCpE,2024,Rizal Memorial,0
20251029,Perez,Juan,Dalisay,BSBAMkg,2025,Metro Manila High,yes
20221030,Gonzalez,Marco,Dalisay,ACT,2022,Eastern Standard High,yes
20271031,Villanueva,Enrique,Dalisay,BSIT,2027,St. Jude Academy,false
20261032,Navarro,Carlos,Ignacio,BSBAHRM,2026,St. Jude Academy,true
20231033,Gomez,Enrique,Evangelista,BSCpE,2023,Tech High School,passed
20251034,Ramos,Bea,Reyes,BSBAMkg,2025,Provincial High,true
20241035,Del Rosario,Bea,Clemente,BSCpE,2024,National Science High,no
20251036,Lim,Juan,Macapagal,BSIS,2025,Pioneer Academy,passed
20261037,Gonzalez,Sofia,Alonzo,BSEd,2026,Mabini High,false
20261038,De Leon,Sofia,Tolentino,BSHRM,2026,St. Jude Academy,passed
20221039,Villanueva,Pedro,Reyes,BSEd,2022,Valley View Academy,true
20221040,Bautista,Teresa,Salvador,BSEd,2022,Eastern Standard High,passed
20221041,Gonzalez,Lucia,Laxamana,BSSE,2022,Valley View Academy,false
20271042,Mendoza,Julio,Pascual,BSCS,2027,Pioneer Academy,false
20271043,Perez,Bea,Kasilag,BSHRM,2027,Provincial High,yes
20231044,Lim,Mateo,Hernandez,BSIS,2023,St. Jude Academy,passed
20231045,Tan,Anna,Jacinto,ACT,2023,Valley View Academy,0
20251046,Tan,Rosa,Quizon,BSEEd,2025,Rizal Memorial,0
20221047,Ramos,Marco,Hernandez,BSA,2022,Tech High School,no
20231048,Torres,Julio,Navarro,BSBAMkg,2023,Rizal Memorial,passed
20241049,Navarro,Angelica,Bernardo,BSEE,2024,Metro Manila High,passed
20231050,Gonzalez,Julio,Gomez,BSA,2023,National Science High,yes
20241051,Aquino,Paolo,Zaragoza,ABComm,2024,Mabini High,1
20251052,Sy,Angelica,Quizon,BSSE,2025,St. Jude Academy,false
20251053,Torres,Mateo,Bernardo,BSN,2025,Provincial High,no
20271054,Navarro,Enrique,Kasilag,BSEEd,2027,Pioneer Academy,true
20231055,Aguilar,Juan,Zaragoza,BSME,2023,Pioneer Academy,true
20241056,Torres,Rosa,Dalisay,BSEd,2024,Mabini High,yes
20261057,Aguilar,Gabriel,Gomez,BSBAMkg,2026,Eastern Standard High,no
20221058,Del Rosario,Maria,Dalisay,BSCS,2022,Eastern Standard High,no
20231059,Garcia,Diego,Salvador,ABComm,2023,St. Jude Academy,passed
20241060,Bautista,Maria,Navarro,BSHRM,2024,National Science High,true
20251061,Castro,Miguel,Ignacio,BSHRM,2025,Eastern Standard High,no
20271062,Bautista,Marco,Jacinto,BSEE,2027,Tech High School,1
20221063,De Leon,Lucia,Ocampo,ABComm,2022,Metro Manila High,yes
20271064,Del Rosario,Ramon,Ignacio,BSA,2027,Valley View Academy,yes
20241065,Perez,Elena,Laxamana,ABComm,2024,Valley View Academy,true
20271066,Ramos,Teresa,Ignacio,BSBAMkg,2027,Rizal Memorial,false
20251067,Torres,Ramon,Ignacio,BSIT,2025,Metro Manila High,1
20271068,Perez,Rosa,Jacinto,BSBAMkg,2027,Metro Manila High,false
20241069,Torres,Jose,Valdez,ABComm,2024,Rizal Memorial,passed
20221070,Ramos,Miguel,Valdez,BSME,2022,Mabini High,no
20221071,Del Rosario,Carla,Ignacio,BSEd,2022,National Science High,true
20221072,Aguilar,Julio,Valdez,BSIT,2022,Metro Manila High,true
20221073,Perez,Marco,Gomez,ABComm,2022,City Science HS,false
20261074,Mercado,Marco,Valdez,BSME,2026,Mabini High,yes
20221075,Bautista,Luis,Dalisay,BSME,2022,City Science HS,passed
20231076,Lim,Maria,Salvador,BSIS,2023,St. Jude Academy,1
20241077,Bautista,Miguel,Clemente,BSIT,2024,Eastern Standard High,true
20241078,Aguilar,Julio,Quizon,BSBAHRM,2024,Provincial High,0
20241079,Mendoza,Lucia,Kasilag,BSEd,2024,Valley View Academy,0
20221080,Reyes,Marco,Gomez,BSIS,2022,Mabini High,0
20241081,Gomez,Pedro,Hernandez,BSEE,2024,St. Jude Academy,no
20231082,Ramos,Teresa,Quizon,BSCE,2023,Valley View Academy,true
20241083,Sy,Pedro,Zaragoza,BSEd,2024,National Science High,true
20241084,Aguilar,Teresa,Navarro,BSIT,2024,Rizal Memorial,yes
20241085,Del Rosario,Julio,Reyes,BSBAMkg,2024,Integrated School of Science,true
20221086,Sy,Mateo,Ocampo,BSIT,2022,Mabini High,0
20251087,Bautista,Diego,Kasilag,BSCE,2025,Provincial High,false
20241088,Bautista,Sofia,Tolentino,BSN,2024,City Science HS,passed
20221089,Reyes,Elena,Bernardo,BSHRM,2022,National Science High,true
20231090,Mendoza,Gabriel,Evangelista,BSME,2023,St. Jude Academy,1
20221091,De Leon,Pedro,Kasilag,BSN,2022,St. Jude Academy,false
20271092,Santos,Miguel,Macapagal,BSSE,2027,Eastern Standard High,yes
20271093,Aguilar,Ramon,Clemente,ACT,2027,Rizal Memorial,passed
20221094,Villanueva,Gabriel,Tolentino,BSIS,2022,Rizal Memorial,passed
20221095,Navarro,Marco,Bernardo,BSEd,2022,St. Jude Academy,false
20221096,Villanueva,Gabriel,Alonzo,BSCpE,2022,Provincial High,false
20261097,Tan,Marco,Clemente,BSBAMkg,2026,City Science HS,1
20231098,Aguilar,Angelica,Ignacio,ACT,2023,St. Jude Academy,false
20251099,Castro,Angelica,Reyes,BSHRM,2025,Valley View Academy,true
20221100,Castro,Carlos,Macapagal,BSEE,2022,St. Jude Academy,false
20231101,Mercado,Mateo,Laxamana,BSCpE,2023,Integrated School of Science,0
20241102,Castro,Miguel,Laxamana,ABComm,2024,Pioneer Academy,true
20261103,Garcia,Marco,Salvador,BSBAHRM,2026,Eastern Standard High,1
20261104,Ramos,Angelica,Zaragoza,BSEEd,2026,Mabini High,passed
20261105,De Leon,Diego,Dalisay,BSIS,2026,Integrated School of Science,passed
20251106,Torres,Julio,Gomez,BSIS,2025,Provincial High,no
20241107,Reyes,Pedro,Salvador,ACT,2024,Pioneer Academy,false
20271108,Cruz,Sofia,Kasilag,BSIS,2027,National Science High,true
20261109,Del Rosario,Luis,Navarro,BSBAHRM,2026,Integrated School of Science,true
20271110,Reyes,Teresa,Kasilag,ABComm,2027,Integrated School of Science,true
20231111,Bautista,Anna,Clemente,BSCE,2023,Eastern Standard High,0
20221112,Perez,Pedro,Jacinto,ACT,2022,Mabini High,0
20221113,Ramos,Diana,Jacinto,BSN,2022,Eastern Standard High,1
20231114,Gonzalez,Carlos,Valdez,BSCE,2023,Provincial High,yes
20241115,Castro,Mateo,Ocampo,BSHRM,2024,National Science High,no
20221116,Cruz,Pedro,Bernardo,BSCS,2022,Metro Manila High,no
20241117,Lim,Miguel,Hernandez,BSA,2024,Pioneer Academy,true
20231118,Santos,Julio,Clemente,BSCpE,2023,Rizal Memorial,0
20261119,Navarro,Diego,Gomez,BSIS,2026,Pioneer Academy,true
20261120,Del Rosario,Julio,Tolentino,BSIT,2026,St. Jude Academy,true
20221121,Navarro,Julio,Pascual,BSCS,2022,Tech High School,false
20261122,Torres,Anna,Fernando,BSN,2026,City Science HS,yes
20261123,Garcia,Bea,Laxamana,ABComm,2026,Mabini High,false
20251124,Tan,Maria,Ocampo,BSME,2025,Tech High School,false
20231125,De Leon,Angelica,Alonzo,BSEEd,2023,Valley View Academy,1
20271126,Perez,Pedro,Alonzo,BSCS,2027,Tech High School,no
20231127,Tan,Bea,Zaragoza,BSHRM,2023,Tech High School,yes
20241128,Gonzalez,Juan,Bernardo,BSEEd,2024,Integrated School of Science,false
20261129,Castro,Enrique,Ignacio,BSEd,2026,Valley View Academy,no
20221130,Mendoza,Julio,Reyes,BSCS,2022,City Science HS,passed
20231131,Tan,Pedro,Gomez,BSSE,2023,Pioneer Academy,passed
20271132,Gomez,Bea,Valdez,BSCE,2027,Eastern Standard High,yes
20241133,Aguilar,Carla,Pascual,BSCS,2024,St. Jude Academy,true
20231134,Garcia,Diana,Jacinto,BSCE,2023,City Science HS,passed
20221135,Aquino,Angelica,Salvador,BSEEd,2022,Tech High School,false
20241136,Del Rosario,Rosa,Ocampo,BSBAHRM,2024,Metro Manila High,false
20271137,Mercado,Enrique,Hernandez,BSCS,2027,Pioneer Academy,no
